Metric,TenSEAL (CKKS),Paillier
Encryption Time (s),0.0000,15.4151
Memory Usage (MB),329.30,337.35
Ciphertext Size (KB),326.62,2.85
Key Size (KB),34642.65,1.98
Throughput (op/s),16500.02,10719.99
Mean Absolute Error,0.000000,0.000000
Scheme Type,Fully Homomorphic,Partially Homomorphic
Floating Point Support,✅ Yes,❌ No
Unlimited Multiplications,✅ Yes,❌ No
